,SYMBOL,CUSIP
246,ACRDP,00489Q300
247,ACRE,04013V108
248,ACRGF,00489Y402
249,ACRHF,00489Y600
250,ACRO,005029103
251,ACROU,005029202
252,ACROWS,005029111
253,ACRPRC,00489Q201
254,ACRPRD,00489Q300
255,ACRS,00461U105
256,ACRX,00444T100
257,ACSAY,00089H106
258,ACSG,233051192
259,ACSI,26922A776
260,ACSI,886364710
261,ACSIXXXX,26922A776
262,ACST,00430K873
263,ACST,00430K402
264,ACSTXXXX,00430K402
265,ACSTZZZZ,00430K873
266,ACT,00768Y545
267,ACT,29249E109
268,ACTC,G04561109
269,ACTCU,G04561117
270,ACTCW,G04561125
271,ACTD,G0R21B104
272,ACTDU,G0R21B120
273,ACTDW,G0R21B112
274,ACTG,003881307
275,ACTHF,007408107
276,ACTL,04300F105
277,ACTT,G0080J104
278,ACTTU,G0080J112
279,ACTTW,G0080J120
280,ACTV,90214Q717
281,ACTX,00791F109
282,ACU,004816104
283,ACUR,00509L802
284,ACV,01883J108
285,ACV,92840N100
286,ACVA,00091G104
287,ACVF,26923N108
288,ACVXXXX,01883J108
289,ACWF,46434V316
290,ACWI,464288257
291,ACWV,464286525
292,ACWX,464288240
293,ACXP,00510M104
294,ACY,007737109
295,ADAD,00534U405
296,ADAD,44332X104
297,ADADD,00534U405
298,ADAG,005329107
299,ADAP,00653A107
300,ADBE,00724F101
301,ADC,008492100
302,ADCDL,008492209
303,ADCOF,00654B104
304,ADCPRA,008492209
305,ADCT,H0036K147
306,ADCV,00512R200
307,ADDYY,00687A107
308,ADER,90138P100
309,ADERU,90138P209
310,ADERW,90138P118
311,ADERY,008712200
312,ADES,00770C101
313,ADEX,007024102
314,ADEXU,007024201
315,ADEXWS,007024110
316,ADF,01407X104
317,ADFI,90214Q725
318,ADFS,025351107
319,ADFT,00687B105
320,ADFU,01407X203
321,ADFWS,01407X112
322,ADGI,00534A102
323,ADGO,00775N102
324,ADGS,00101U101
325,ADHMY,00790N103
326,ADI,032654105
327,ADIA,00687W109
328,ADIL,00688A106
329,ADILW,00688A114
330,ADIV,402031843
331,ADM,039483102
332,ADMA,000899104
333,ADME,26922A784
334,ADMP,00547W208
335,ADMQ,00089T100
336,ADMS,00548A106
337,ADN,00788A105
338,ADNT,G0084W101
339,ADNWW,00788A113
340,ADNY,00687R100
341,ADNYD,14173W101
342,ADOC,G4000A102
343,ADOCR,G4000A136
344,ADOCU,G4000A128
345,ADOCW,G4000A110
346,ADOCY,00725J102
347,ADOM,29414V100
348,ADOM,00726A100
349,ADOOY,00652F107
350,ADP,053015103
351,ADPAJ,00685R102
352,ADPAS,00685R409
353,ADPT,00650F109
354,ADPXY,05072T108
355,ADRA,00653H102
356,ADRA,46090C107
357,ADRAU,00653H201
358,ADRAWS,00653H110
359,ADRD,46090C206
360,ADRE,46090C305
361,ADRNY,500467501
362,ADRO,00739L101
363,ADRO,00739L200
364,ADRZY,034522102
365,ADS,018581108
366,ADSK,052769106
367,ADSV,01951W205
368,ADSW,00790X101
369,ADT,00090Q103
370,ADTC,007521107
371,ADTFD,45250A208
372,ADTFF,45250A208
373,ADTFF,45250A109
374,ADTM,00652J208
375,ADTN,00738A106
376,ADTR,01863R104
377,ADTX,007025109
378,ADTY,00738D100
379,ADUS,006739106
380,ADV,00791N102
381,ADVM,00773U108
382,ADVT,007614100
383,ADVWW,00791N110
384,ADVZF,00791E102
385,ADWPF,03444Q100
386,ADX,006212104
387,ADXDF,006903207
388,ADXN,00654J107
389,ADXS,007624307
390,ADYEY,00783V104
391,ADYRF,00784W101
392,ADYX,00784D103
393,AE,006351308
394,AEAC,G06607108
395,AEACU,G06607116
396,AEACW,G06607124
397,AEB,007924509
398,AEE,023608102
399,AEEX,04521X208
400,AEF,00301W105
401,AEFC,00775V104
402,AEG,007924103
403,AEGG,025636200
404,AEGN,00770F104
405,AEGXF,00762V109
406,AEHAU,00809L205
407,AEHL,G041JN106
408,AEHR,00760J108
409,AEI,02116A104
410,AEIHL,025676602
411,AEIS,007973100
412,AEL,025676206
413,AELIY,032525107
414,AELPRA,025676503
415,AELPRB,025676602
416,AEM,008474108
417,AEMB,025072414
418,AEMC,039490206
419,AEMMY,002482107
420,AENZ,00776D103
421,AEO,02553E106
422,AEP,025537101
423,AEPOU,02557T307
424,AEPPL,025537127
425,AEPPRB,025537127
426,AEPPRC,02557T307
427,AEPPZ,02557T307
428,AER,N00985106
429,AERG,03819M106
430,AERI,00771V108
431,AERO,00768M202
432,AERS,00767A100
433,AES,00130H105
434,AESC,00130H204
435,AESE,019170109
436,AESEW,019170117
437,AESR,90214Q733
438,AESUU,00130H204
439,AETUF,00208D408
440,AEVA,00835Q103
441,AEVAWS,00835Q111
442,AEXAY,04962A105
443,AEXE,00887T302
444,AEY,006743306
445,AEYE,050734201
446,AEZS,007975402
447,AFAP,001038108
448,AFAQ,001040104
449,AFAQU,001040203
450,AFAQW,001040112
451,AFB,01864U106
452,AFBA,019204106
453,AFBG,02589V106
454,AFBI,00832E103
455,AFC,01903Q207
456,AFCG,00109K105
457,AFDG,00832F100
458,AFFS,032359861
459,AFFT,032359853
460,AFFU,00829V100
461,AFFY,00826A109
462,AFG,025932104
463,AFGB,025932807
464,AFGC,025932880
465,AFGD,025932872
466,AFGE,025932864
467,AFGH,025932708
468,AFGVY,00846M109
469,AFH,G06207115
470,AFHBL,G06207123
471,AFHIF,G06207115
472,AFI,04238R106
473,AFIB,005111109
474,AFIF,90214Q766
475,AFIN,02607T109
476,AFINO,02607T505
477,AFINP,02607T406
478,AFIPA,001683101
479,AFK,92189F866
480,AFL,001055102
481,AFLG,33740F821
482,AFLYY,009119108
483,AFMC,33740F813
484,AFMD,N01045108
485,AFMJF,V0195Q103
486,AFOM,01663M107
487,AFPW,022201305
488,AFRM,00827B106
489,AFSIA,032359408
490,AFSIB,032359507
491,AFSIC,032359705
492,AFSIM,032359846
493,AFSIN,032359820
494,AFSIP,032359887
495,AFSM,33740F797
496,AFSS,032359861
497,AFT,037636107
498,AFTC,02151Q105
499,AFTM,00831X102
500,AFTPY,00832J102
501,AFTR,G01109100
502,AFTRU,G01109118
503,AFTRWS,G01109126
504,AFTY,69374H626
505,AFTY,12649L105
506,AFTYZZZZ,69374H626
507,AFYA,G01125106
508,AFYG,00829M100
509,AG,32076V103
510,AGAC,G0112R108
511,AGACU,G0112R116
512,AGACWS,G0112R124
513,AGAUF,78573W102
514,AGAUF,04053A105
515,AGAUFXXXX,04053A105
516,AGBA,G0120M109
517,AGBAR,G0120M125
518,AGBAU,G0120M133
519,AGBAW,G0120M117
520,AGC,G0370L108
521,AGCB,G0371B109
522,AGCBF,02301T108
523,AGCO,001084102
524,AGCUU,G0370L124
525,AGCWW,G0370L116
526,AGCZ,034197202
527,AGD,00302M106
528,AGDXF,037180106
529,AGE,00848H108
530,AGEEF,40638K101
531,AGEEF,406372102
532,AGEEFXXXX,406372102
533,AGEN,00847G705
534,AGESY,00844W208
535,AGFAD,008505208
536,AGFAF,00851F106
537,AGFAF,008505109
538,AGFMF,001092105
539,AGFS,00856G109
540,AGFSW,00856G117
541,AGFXF,25154H533
542,AGFY,00853E107
543,AGG,464287226
544,AGGE,45409B487
545,AGGFF,00829A601
546,AGGG,03704T109
547,AGGHF,00856K100
548,AGGI,019153105
549,AGGL,00857A101
550,AGGP,45409B479
551,AGGR,G01202103
552,AGGRU,G01202129
553,AGGRW,G01202111
554,AGGY,97717X511
555,AGHC,00774U107
556,AGHI,00848N303
557,AGI,011532108
558,AGIL,00857F100
559,AGILW,00857F118
560,AGIN,02640K107
561,AGIO,00847X104
562,AGL,00857U107
563,AGLAF,008631301
564,AGLE,00773J103
565,AGLT,034625202
566,AGLXY,001201201
567,AGM,313148306
568,AGMA,313148108
569,AGMFP,313148843
570,AGMGP,313148835
571,AGMH,G0132V105
572,AGMPRA,313148801
573,AGMPRC,313148876
574,AGMPRD,313148868
575,AGMPRE,313148850
576,AGMPRF,313148843
577,AGMPRG,313148835
578,AGN,G0177J108
579,AGNC,00123Q104
580,AGNCM,00123Q609
581,AGNCN,00123Q500
582,AGNCO,00123Q807
583,AGNCP,00123Q872
584,AGND,97717W364
585,AGNG,37954Y772
586,AGNPF,01559R103
587,AGO,G0585R106
588,AGOL,034215103
589,AGOPRB,04623A205
590,AGOPRE,04623A304
591,AGOPRF,04623A403
592,AGOV,30151E657
593,AGOX,85521B742
594,AGQ,74347W353
595,AGR,05351W103
596,AGRI,C00948106
597,AGRIP,00850L203
598,AGRIW,C00948114
599,AGRO,L00849106
600,AGRPY,00400T102
601,AGRX,00847L100
602,AGS,72814N104
603,AGSO,00855Q108
604,AGT,46435G276
605,AGTC,03820J100
606,AGTK,00856J202
607,AGTX,00848A103
608,AGUNF,039675103
609,AGX,04010E109
610,AGYP,019151208
611,AGYS,00847J105
612,AGZ,464288166
613,AGZD,97717W380
614,AHAC,020751103
615,AHACU,020751202
616,AHACW,020751111
617,AHAD,02080A106
618,AHC,001282102
619,AHC,001282300
620,AHCHY,035243104
621,AHCO,00653Q102
622,AHCOW,00653Q110
623,AHCP,033310103
624,AHCPD,15913A101
625,AHCZZZZ,001282300
626,AHELF,02650G202
627,AHEXY,006754204
628,AHFCF,343449203
629,AHFI,00387N102
630,AHH,04208T108
631,AHHPRA,04208T207
632,AHII,02650U201
633,AHKSY,043400100
634,AHLPRC,G05384154
635,AHLPRD,G05384162
636,AHLPRE,G05384204
637,AHNMF,03958A103
638,AHPA,G07247102
639,AHPAU,G07247110
640,AHPAW,G07247128
641,AHPI,019222207
642,AHT,044103877
643,AHT,044103109
644,AHT,044103869
645,AHTPRD,044103406
646,AHTPRF,044103604
647,AHTPRG,044103703
648,AHTPRH,044103802
649,AHTPRI,044103885
650,AHTXXXX,044103109
651,AHTXXXX,044103877
652,AHTZZZZ,044103877
653,AHTZZZZ,044103869
654,AI,12468P104
655,AI,041356205
656,AIA,464288430
657,AIAD,00874R103
658,AIAGY,05207U103
659,AIBGY,00135T104
660,AIC,041356502
661,AIDA,008721102
662,AIEQ,26924G813
663,AIF,037638103
664,AIFLY,00873N103
665,AIFS,00847D108
666,AIG,026874784
667,AIGPRA,026874768
668,AIH,00809M104
669,AIHS,817225105
670,AIIQ,26922A461
671,AIIXY,009606203
672,AIKI,008875106
673,AIKO,02155W207
674,AILIH,02361D803
675,AILIM,02361D845
676,AILLI,02361D605
677,AILLL,02361D852
678,AILLM,02361D506
679,AILLN,02361D407
680,AILLP,02361D209
681,AILNP,02361D837
682,AILQF,009120403
683,AIM,00901B105
684,AIMC,02208R106
685,AIMD,00902F105
686,AIMH,009003203
687,AIMLF,00143Y103
688,AIMT,00900T107
689,AIN,012348108
690,AINC,044104107
691,AINV,03761U502
692,AIO,01883M101
693,AIO,92838Y100
694,AIOXXXX,01883M101
695,AIPRB,041356601
696,AIPRC,041356700
697,AIPUY,00950R100
698,AIQ,37954Y632
699,AIQUY,009126202
700,AIR,000361105
701,AIRC,03750L109
702,AIRG,00938A104
703,AIRI,00912N205
704,AIRO,00950H300
705,AIRR,33738R704
706,AIRT,009207101
707,AIRTP,00919P302
708,AIRTP,00919P203
709,AIRTPZZZZ,00919P302
710,AIRYY,00910M100
711,AISSF,001431105
712,AISSF,001430107
713,AISSFXXXX,001430107
714,AIT,03820C105
715,AITX,04316D102
716,AITX,04316D201
717,AITXD,04316D201
718,AIV,03748R754
719,AIV,03748R747
720,AIVN,02687C109
721,AIVXXXX,03748R754
722,AIVZZZZ,03748R747
723,AIW,041356304
724,AIXN,009603200
725,AIXN,009603101
726,AIXND,009603200
727,AIZ,04621X108
728,AIZN,04621X306
729,AIZP,04621X207
730,AJAX,G1993M101
731,AJAX,G0190X100
732,AJAXU,G0190X118
733,AJAXWS,G0190X126
734,AJAXWS,G1993M127
735,AJAXWSXXXX,G0190X126
736,AJAXWSZZZZ,G1993M127
737,AJAXXXXX,G0190X100
738,AJAXZZZZ,G1993M101
739,AJG,363576109
740,AJIA,009706102
741,AJINY,009707100
742,AJOY,054761101
743,AJRD,007800105
744,AJX,38983D300
745,AJXA,38983D409
746,AKA,00152K101
747,AKABY,001628106
748,AKAM,00971T101
749,AKBA,00972D105
750,AKBTY,009719501
751,AKCA,00972L107
752,AKG,04341Y105
753,AKIC,G8372A103
754,AKICU,G8372A111
755,AKICW,G8372A129
756,AKOA,29081P204
757,AKOB,29081P303
758,AKOM,00774B208
759,AKR,004239109
760,AKRO,00973Y108
761,AKRX,009728106
762,AKRXQ,009728106
763,AKRYY,00973M104
764,AKS,001547108
765,AKTAF,009905100
766,AKTS,00973N102
767,AKTX,00972G108
768,AKUS,00973J101
769,AKVA,040732109
770,AKYA,00974H104
771,AKZOY,010199503
772,AL,00912X302
773,ALAC,G35006108
774,ALACR,G35006132
775,ALACU,G35006116
776,ALACW,G35006124
777,ALB,012653101
778,ALBBY,01609Y108
779,ALBKY,02071M507
780,ALBO,01345P106
781,ALBY,203634407
782,ALC,H01301128
783,ALCC,02156V109
784,ALCO,016230104
785,ALDS,03829G107
786,ALDVD,497252106
787,ALDVF,497252106
788,ALDX,01438T106
789,ALE,018522300
790,ALEAF,01444Q104
791,ALEC,014442107
792,ALEDY,01923H104
793,ALEX,014491104
794,ALF,00161P109
795,ALFA,26922A305
796,ALFIW,00161P117
797,ALFVY,015393101
798,ALG,011311107
799,ALGGY,01861B101
800,ALGM,01749D105
801,ALGN,016255101
802,ALGR,01749N103
803,ALGRR,01749N129
804,ALGRW,01749N111
805,ALGS,01626L105
806,ALGT,01748X102
807,ALHC,01625V104
808,ALID,019114107
809,ALINPRA,Y1001E109
810,ALINPRB,Y1001E117
811,ALINPRE,Y1001E125
812,ALIT,01626W101
813,ALITWS,01626W119
814,ALIZY,018820100
815,ALJJ,001627108
816,ALK,011659109
817,ALKM,01643J109
818,ALKS,G01767105
819,ALKT,01644J108
820,ALL,020002101
821,ALLE,G0176J109
822,ALLIF,02075W105
823,ALLK,01671P100
824,ALLM,01890B106
825,ALLO,019770106
826,ALLPRACL,020002408
827,ALLPRB,020002309
828,ALLPRG,020002127
829,ALLPRH,020002838
830,ALLPRI,020002812
831,ALLT,M0854Q105
832,ALLXF,04040X101
833,ALLXF,12878L107
834,ALLY,02005N100
835,ALLYPRA,361860208
836,ALMC,01626K206
837,ALME,011295102
838,ALMTF,020398103
839,ALMY,01374L109
840,ALNA,018119107
841,ALNPY,032350100
842,ALNY,02043Q107
843,ALO,01627X108
844,ALOD,019487107
845,ALORY,016279101
846,ALOT,04638F108
847,ALPA,02073F104
848,ALPAU,02073F203
849,ALPAW,02073F112
850,ALPE,02072E108
851,ALPMY,04623U102
852,ALPN,02083G100
853,ALPP,02083E105
854,ALPPRQ,010392462
855,ALPRA,00912X500
856,ALPVN,010392405
857,ALRM,011642105
858,ALRN,00887A105
859,ALRT,001630102
860,ALSI,04940M106
861,ALSK,01167P101
862,ALSMY,021244207
863,ALSN,01973R101
864,ALST,01989F208
865,ALSTD,01989F208
866,ALSWF,00386B109
867,ALT,02155H200
868,ALTA,021347109
869,ALTCY,02155T204
870,ALTD,02156A105
871,ALTG,02128L106
872,ALTGPRA,02128L205
873,ALTGWS,02128L114
874,ALTKY,02209U108
875,ALTL,69374H717
876,ALTMW,02215L118
877,ALTN,02156H100
878,ALTO,021513106
879,ALTR,021369103
880,ALTS,74347B813
881,ALTU,02156Y103
882,ALTUU,02156Y202
883,ALTUW,02156Y111
884,ALTX,021454103
885,ALTY,37954Y806
886,ALUS,G0232J101
887,ALUSU,G0232J127
888,ALUSWS,G0232J119
889,ALV,052800109
890,ALVOD,02255Q209
891,ALVOF,02255Q100
892,ALVOF,02255Q209
893,ALVR,019818103
894,ALVRQ,M0861T118
895,ALX,014752109
896,ALXN,015351109
897,ALXO,00166B105
898,ALYA,01643B106
899,ALYE,02260T305
900,ALYI,02146M201
901,ALZN,02262M308
902,AM,03676B102
903,AMADY,02263T104
904,AMAG,00163U106
905,AMAL,022663108
906,AMAM,02290A102
907,AMAO,02369M102
908,AMAOU,02369M201
909,AMAOW,02369M110
910,AMAR,02301P205
911,AMAT,038222105
912,AMAZ,02314N205
913,AMBA,G037AX101
914,AMBBY,02337W109
915,AMBC,023139884
916,AMBCW,023139116
917,AMBCWS,023139116
918,AMBK,024343105
919,AMBKP,02503Q209
920,AMBO,02322P200
921,AMBP,L02235106
922,AMBPWS,L02235114
923,AMBS,02300U205
924,AMBZ,02475L105
925,AMC,00165C104
926,AMCA,46435G169
927,AMCF,67086W105
928,AMCI,00165R101
929,AMCI,00166R100
930,AMCIU,00166R209
931,AMCIU,00165R200
932,AMCIW,00165R119
933,AMCIW,00166R118
934,AMCR,G0250X107
935,AMCT,02554H108
936,AMCX,00164V103
937,AMCY,00087D107
938,AMD,007903107
939,AMDLY,022631204
940,AME,031100100
941,AMED,023436108
942,AMEFF,03835D106
943,AMEH,03763A207
944,AMEN,023477300
945,AMER,291361707
946,AMFC,001984103
947,AMFL,026040105
948,AMG,008252108
949,AMGN,031162100
950,AMGY,027462209
951,AMH,02665T306
952,AMHC,03212A105
953,AMHCU,03212A204
954,AMHCW,03212A113
955,AMHG,02362J106
956,AMHPRD,02665T702
957,AMHPRE,02665T801
958,AMHPRF,02665T884
959,AMHPRG,02665T876
960,AMHPRH,02665T868
961,AMHV,02650H101
962,AMIGY,007192107
963,AMIH,02687R106
964,AMIN,02686Y300
965,AMJ,46625H365
966,AMJL,22539T290
967,AMK,04546L106
968,AMKBY,00202F102
969,AMKR,031652100
970,AMLH,02715M103
971,AMLM,027263102
972,AMLP,00162Q866
973,AMLP,00162Q452
974,AMLPXXXX,00162Q866
975,AMLPZZZZ,00162Q452
976,AMLYY,0017EP202
977,AMMJ,024870107
978,AMMPF,03169D102
979,AMMX,02356P209
980,AMMX,02356P100
981,AMMXD,02356P209
982,AMN,001744101
983,AMNA,90269A351
984,AMNB,027745108
985,AMNC,03153A106
986,AMND,90269A252
987,AMNF,042166801
988,AMNL,03823M100
989,AMNP,029616208
990,AMOM,30151E780
991,AMOT,019330109
992,AMOV,02364W204
993,AMP,03076C106
994,AMPE,03209T109
995,AMPG,03211Q101
996,AMPG,03211Q200
997,AMPGW,03211Q119
998,AMPH,03209R103
999,AMPI,00777J109
1000,AMPIU,00777J208
1001,AMPIWS,00777J117
1002,AMPL,03213A104
1003,AMPY,03212B103
1004,AMR,020764106
1005,AMRB,029326105
1006,AMRC,02361E108
1007,AMRH,02362F302
1008,AMRHW,02362F112
1009,AMRK,00181T107
1010,AMRN,023111206
1011,AMRQQ,02133L109
1012,AMRR,027486109
1013,AMRS,03236M200
1014,AMRU,02311Q102
1015,AMRWF,03078L104
1016,AMRX,03168L105
1017,AMRYY,03217L106
1018,AMS,029595105
1019,AMSA,029578200
1020,AMSC,030111207
1021,AMSF,03071H100
1022,AMSIY,03937Y206
1023,AMSSY,03217C106
1024,AMST,031094105
1025,AMSU,022872105
1026,AMSWA,029683109
1027,AMT,03027X100
1028,AMTB,023576101
1029,AMTBB,023576200
1030,AMTCQ,03073H108
1031,AMTD,87236Y108
1032,AMTI,03824M109
1033,AMTPQ,03073H207
1034,AMTR,90269A245
1035,AMTX,00770K202
1036,AMTY,03073V107
1037,AMU,90267B682
1038,AMUB,90274D374
1039,AMWD,030506109
1040,AMWL,03044L105
1041,AMX,02364W105
1042,AMXEF,03114B102
1043,AMYT,03217L106
1044,AMYZF,02735A105
1045,AMZA,26923G772
1046,AMZA,26923G103
1047,AMZAXXXX,26923G103
1048,AMZAZZZZ,26923G772
1049,AMZN,023135106
1050,AN,05329W102
1051,ANAB,032724106
1052,ANAC,G0477L100
1053,ANACU,G0477L118
1054,ANACWS,G0477L126
1055,ANAS,02154R209
1056,ANAT,028591105
1057,ANAT,02772A109
1058,ANATXXXX,028591105
1059,ANATZZZZ,02772A109
1060,ANCE,76131Q104
1061,ANCN,03280X102
1062,ANCUF,01626P403
1063,ANDA,G04415108
1064,ANDAR,G04415132
1065,ANDAU,G04415116
1066,ANDAW,G04415124
1067,ANDC,034263103
1068,ANDD,03634H118
1069,ANDE,034164103
1070,ANDR,034393108
1071,ANEB,034569103
1072,ANET,040413106
1073,ANEW,74347G796
1074,ANF,002896207
1075,ANFC,09216Q103
1076,ANFC,09216Q202
1077,ANFCD,09216Q202
1078,ANFIF,G0335L201
1079,ANGI,00183L102
1080,ANGL,92189F437
1081,ANGN,03476J107
1082,ANGO,03475V101
1083,ANGPY,03486T202
1084,ANGUF,135164101
1085,ANH,037347101
1086,ANHGY,58471Q100
1087,ANHPRA,037347200
1088,ANHPRB,037347309
1089,ANHPRC,037347408
1090,ANIK,035255108
1091,ANIOY,00444E103
1092,ANIP,00182C103
1093,ANIX,03528H109
1094,ANLDF,03464C106
1095,ANMP,03237E306
1096,ANNX,03589W102
1097,ANPC,03635R107
1098,ANPCY,03476V100
1099,ANPDY,03662P107
1100,ANSLY,03634M208
1101,ANSS,03662Q105
1102,ANSU,02287P104
1103,ANTE,00941Q104
1104,ANTGD,00775L205
1105,ANTGF,00775L205
1106,ANTGF,00775L106
1107,ANTH,03674U300
1108,ANTM,036752103
1109,ANVS,03615A108
1110,ANVV,037340106
1111,ANXGF,03240P207
1112,ANY,84841L308
1113,ANYYY,00774W103
1114,ANZBY,052528304
1115,ANZLY,009136201
1116,ANZU,03737A101
1117,ANZUU,03737A200
1118,ANZUW,03737A119
1119,AOA,464289859
1120,AOBC,02874P103
1121,AOD,00326L100
1122,AOIFF,00829Q101
1123,AOIL,003261500
1124,AOK,464289883
1125,AOM,464289875
1126,AOMOY,037376308
1127,AOMR,03464Y108
1128,AON,G0408V102
1129,AON,G0403H108
1130,AONE,G7000X105
1131,AONEU,G7000X113
1132,AONEWS,G7000X121
1133,AONNY,007627102
1134,AONXXXX,G0408V102
1135,AOR,464289867
