,SYMBOL,CUSIP
246,ACQRU,G4761A119
247,ACQRW,G4761A127
248,ACR,00489Q102
249,ACRDF,00489Y709
250,ACRDP,00489Q300
251,ACRE,04013V108
252,ACRGF,00489Y402
253,ACRHF,00489Y600
254,ACRO,005029103
255,ACROU,005029202
256,ACROWS,005029111
257,ACRPRC,00489Q201
258,ACRPRD,00489Q300
259,ACRS,00461U105
260,ACRX,00444T100
261,ACSAY,00089H106
262,ACSG,233051192
263,ACSI,886364710
264,ACSI,26922A776
265,ACSIXXXX,26922A776
266,ACST,00430K873
267,ACST,00430K402
268,ACSTXXXX,00430K402
269,ACSTZZZZ,00430K873
270,ACT,00768Y545
271,ACT,29249E109
272,ACTC,G04561109
273,ACTCU,G04561117
274,ACTCW,G04561125
275,ACTD,G0R21B104
276,ACTDU,G0R21B120
277,ACTDW,G0R21B112
278,ACTG,003881307
279,ACTHF,007408107
280,ACTL,04300F105
281,ACTT,G0080J104
282,ACTTU,G0080J112
283,ACTTW,G0080J120
284,ACTV,90214Q717
285,ACTX,00791F109
286,ACU,004816104
287,ACUR,00509L802
288,ACV,01883J108
289,ACV,92840N100
290,ACVA,00091G104
291,ACVF,26923N108
292,ACVXXXX,01883J108
293,ACWF,46434V316
294,ACWI,464288257
295,ACWV,464286525
296,ACWX,464288240
297,ACXP,00510M104
298,ACY,007737109
299,ADAD,00534U405
300,ADAD,44332X104
301,ADADD,00534U405
302,ADAG,005329107
303,ADAP,00653A107
304,ADBE,00724F101
305,ADC,008492100
306,ADCDL,008492209
307,ADCOF,00654B104
308,ADCPRA,008492209
309,ADCT,H0036K147
310,ADCV,00512R200
311,ADDHY,006737100
312,ADDYY,00687A107
313,ADER,90138P100
314,ADERU,90138P209
315,ADERW,90138P118
316,ADERY,008712200
317,ADES,00770C101
318,ADEX,007024102
319,ADEXU,007024201
320,ADEXWS,007024110
321,ADF,01407X104
322,ADFI,90214Q725
323,ADFS,025351107
324,ADFT,00687B105
325,ADFU,01407X203
326,ADFWS,01407X112
327,ADGI,00534A102
328,ADGO,00775N102
329,ADGS,00101U101
330,ADHMY,00790N103
331,ADI,032654105
332,ADIA,00687W109
333,ADIL,00688A106
334,ADILW,00688A114
335,ADIV,402031843
336,ADM,039483102
337,ADMA,000899104
338,ADME,26922A784
339,ADMP,00547W208
340,ADMQ,00089T100
341,ADMS,00548A106
342,ADN,00788A105
343,ADNT,G0084W101
344,ADNWW,00788A113
345,ADNY,00687R100
346,ADNYD,14173W101
347,ADOC,G4000A102
348,ADOCR,G4000A136
349,ADOCU,G4000A128
350,ADOCW,G4000A110
351,ADOCY,00725J102
352,ADOM,00726A100
353,ADOM,29414V100
354,ADOOY,00652F107
355,ADP,053015103
356,ADPAJ,00685R102
357,ADPAS,00685R409
358,ADPT,00650F109
359,ADPXY,05072T108
360,ADRA,00653H102
361,ADRA,46090C107
362,ADRAU,00653H201
363,ADRAWS,00653H110
364,ADRD,46090C206
365,ADRE,46090C305
366,ADRNY,500467501
367,ADRO,00739L200
368,ADRO,00739L101
369,ADRZY,034522102
370,ADS,018581108
371,ADSK,052769106
372,ADSV,01951W205
373,ADSW,00790X101
374,ADT,00090Q103
375,ADTC,007521107
376,ADTFD,45250A208
377,ADTFF,45250A109
378,ADTFF,45250A208
379,ADTM,00652J208
380,ADTN,00738A106
381,ADTR,01863R104
382,ADTX,007025109
383,ADTY,00738D100
384,ADUS,006739106
385,ADV,00791N102
386,ADVM,00773U108
387,ADVT,007614100
388,ADVWW,00791N110
389,ADVZF,00791E102
390,ADWPF,03444Q100
391,ADX,006212104
392,ADXDF,006903207
393,ADXN,00654J107
394,ADXS,007624307
395,ADYEY,00783V104
396,ADYRF,00784W101
397,ADYX,00784D103
398,AE,006351308
399,AEAC,G06607108
400,AEACU,G06607116
401,AEACW,G06607124
402,AEB,007924509
403,AEE,023608102
404,AEEX,04521X208
405,AEF,00301W105
406,AEFC,00775V104
407,AEG,007924103
408,AEGG,025636200
409,AEGN,00770F104
410,AEGXF,00762V109
411,AEHAU,00809L205
412,AEHL,G041JN106
413,AEHR,00760J108
414,AEI,02116A104
415,AEIHL,025676602
416,AEIS,007973100
417,AEL,025676206
418,AELIY,032525107
419,AELPRA,025676503
420,AELPRB,025676602
421,AEM,008474108
422,AEMB,025072414
423,AEMC,039490206
424,AEMMY,002482107
425,AENZ,00776D103
426,AEO,02553E106
427,AEP,025537101
428,AEPOU,02557T307
429,AEPPL,025537127
430,AEPPRB,025537127
431,AEPPRC,02557T307
432,AEPPZ,02557T307
433,AER,N00985106
434,AERG,03819M106
435,AERI,00771V108
436,AERO,00768M202
437,AERS,00767A100
438,AES,00130H105
439,AESC,00130H204
440,AESE,019170109
441,AESEW,019170117
442,AESR,90214Q733
443,AESUU,00130H204
444,AETUF,00208D408
445,AEVA,00835Q103
446,AEVAWS,00835Q111
447,AEXAY,04962A105
448,AEXE,00887T302
449,AEY,006743306
450,AEYE,050734201
451,AEZS,007975402
452,AFAP,001038108
453,AFAQ,001040104
454,AFAQU,001040203
455,AFAQW,001040112
456,AFB,01864U106
457,AFBA,019204106
458,AFBG,02589V106
459,AFBI,00832E103
460,AFC,01903Q207
461,AFCG,00109K105
462,AFDG,00832F100
463,AFFS,032359861
464,AFFT,032359853
465,AFFU,00829V100
466,AFFY,00826A109
467,AFG,025932104
468,AFGB,025932807
469,AFGC,025932880
470,AFGD,025932872
471,AFGE,025932864
472,AFGH,025932708
473,AFGVY,00846M109
474,AFH,G06207115
475,AFHBL,G06207123
476,AFHIF,G06207115
477,AFI,04238R106
478,AFIB,005111109
479,AFIF,90214Q766
480,AFIN,02607T109
481,AFINO,02607T505
482,AFINP,02607T406
483,AFIPA,001683101
484,AFK,92189F866
485,AFL,001055102
486,AFLG,33740F821
487,AFLYY,009119108
488,AFMC,33740F813
489,AFMD,N01045108
490,AFMJF,V0195Q103
491,AFOM,01663M107
492,AFPW,022201305
493,AFRM,00827B106
494,AFSIA,032359408
495,AFSIB,032359507
496,AFSIC,032359705
497,AFSIM,032359846
498,AFSIN,032359820
499,AFSIP,032359887
500,AFSM,33740F797
501,AFSS,032359861
502,AFT,037636107
503,AFTC,02151Q105
504,AFTM,00831X102
505,AFTPY,00832J102
506,AFTR,G01109100
507,AFTRU,G01109118
508,AFTRWS,G01109126
509,AFTY,69374H626
510,AFTY,12649L105
511,AFTYZZZZ,69374H626
512,AFYA,G01125106
513,AFYG,00829M100
514,AG,32076V103
515,AGAC,G0112R108
516,AGACU,G0112R116
517,AGACWS,G0112R124
518,AGAUF,78573W102
519,AGAUF,04053A105
520,AGAUFXXXX,04053A105
521,AGBA,G0120M109
522,AGBAR,G0120M125
523,AGBAU,G0120M133
524,AGBAW,G0120M117
525,AGC,G0370L108
526,AGCB,G0371B109
527,AGCBF,02301T108
528,AGCO,001084102
529,AGCUU,G0370L124
530,AGCWW,G0370L116
531,AGCZ,034197202
532,AGD,00302M106
533,AGDXF,037180106
534,AGE,00848H108
535,AGEEF,40638K101
536,AGEEF,406372102
537,AGEEFXXXX,406372102
538,AGEN,00847G705
539,AGESY,00844W208
540,AGFAD,008505208
541,AGFAF,008505109
542,AGFAF,008505208
543,AGFAF,00851F106
544,AGFMF,001092105
545,AGFS,00856G109
546,AGFSW,00856G117
547,AGFXF,25154H533
548,AGFY,00853E107
549,AGG,464287226
550,AGGE,45409B487
551,AGGFF,00829A601
552,AGGG,03704T109
553,AGGHF,00856K100
554,AGGI,019153105
555,AGGL,00857A101
556,AGGP,45409B479
557,AGGR,G01202103
558,AGGRU,G01202129
559,AGGRW,G01202111
560,AGGY,97717X511
561,AGHC,00774U107
562,AGHI,00848N303
563,AGI,011532108
564,AGIL,00857F100
565,AGILW,00857F118
566,AGIN,02640K107
567,AGIO,00847X104
568,AGL,00857U107
569,AGLAF,008631301
570,AGLE,00773J103
571,AGLT,034625202
572,AGLXY,001201201
573,AGM,313148306
574,AGMA,313148108
575,AGMFP,313148843
576,AGMGP,313148835
577,AGMH,G0132V105
578,AGMPRA,313148801
579,AGMPRC,313148876
580,AGMPRD,313148868
581,AGMPRE,313148850
582,AGMPRF,313148843
583,AGMPRG,313148835
584,AGN,G0177J108
585,AGNC,00123Q104
586,AGNCM,00123Q609
587,AGNCN,00123Q500
588,AGNCO,00123Q807
589,AGNCP,00123Q872
590,AGND,97717W364
591,AGNG,37954Y772
592,AGNPF,01559R103
593,AGO,G0585R106
594,AGOL,034215103
595,AGOPRB,04623A205
596,AGOPRE,04623A304
597,AGOPRF,04623A403
598,AGOV,30151E657
599,AGOX,85521B742
600,AGQ,74347W353
601,AGR,05351W103
602,AGRI,C00948106
603,AGRIP,00850L203
604,AGRIW,C00948114
605,AGRO,L00849106
606,AGRPY,00400T102
607,AGRX,00847L100
608,AGS,72814N104
609,AGSO,00855Q108
610,AGT,46435G276
611,AGTC,03820J100
612,AGTK,00856J202
613,AGTX,00848A103
614,AGUNF,039675103
615,AGX,04010E109
616,AGYP,019151208
617,AGYS,00847J105
618,AGZ,464288166
619,AGZD,97717W380
620,AHAC,020751103
621,AHACU,020751202
622,AHACW,020751111
623,AHAD,02080A106
624,AHC,001282300
625,AHC,001282102
626,AHCHY,035243104
627,AHCO,00653Q102
628,AHCOW,00653Q110
629,AHCP,033310103
630,AHCPD,15913A101
631,AHCZZZZ,001282300
632,AHELF,02650G202
633,AHEXY,006754204
634,AHFCF,343449203
635,AHFI,00387N102
636,AHH,04208T108
637,AHHPRA,04208T207
638,AHII,02650U201
639,AHKSY,043400100
640,AHLPRC,G05384154
641,AHLPRD,G05384162
642,AHLPRE,G05384204
643,AHNMF,03958A103
644,AHPA,G07247102
645,AHPAU,G07247110
646,AHPAW,G07247128
647,AHPI,019222207
648,AHT,044103869
649,AHT,044103877
650,AHT,044103109
651,AHTPRD,044103406
652,AHTPRF,044103604
653,AHTPRG,044103703
654,AHTPRH,044103802
655,AHTPRI,044103885
656,AHTXXXX,044103109
657,AHTXXXX,044103877
658,AHTZZZZ,044103877
659,AHTZZZZ,044103869
660,AI,041356205
661,AI,12468P104
662,AIA,464288430
663,AIAD,00874R103
664,AIAGY,05207U103
665,AIBGY,00135T104
666,AIC,041356502
667,AIDA,008721102
668,AIEQ,26924G813
669,AIF,037638103
670,AIFLY,00873N103
671,AIFS,00847D108
672,AIG,026874784
673,AIGPRA,026874768
674,AIH,00809M104
675,AIHS,817225105
676,AIIQ,26922A461
677,AIIXY,009606203
678,AIKI,008875106
679,AIKO,02155W207
680,AILIH,02361D803
681,AILIM,02361D845
682,AILLI,02361D605
683,AILLL,02361D852
684,AILLM,02361D506
685,AILLN,02361D407
686,AILLP,02361D209
687,AILNP,02361D837
688,AILQF,009120403
689,AIM,00901B105
690,AIMC,02208R106
691,AIMD,00902F105
692,AIMH,009003203
693,AIMLF,00143Y103
694,AIMT,00900T107
695,AIN,012348108
696,AINC,044104107
697,AINV,03761U502
698,AIO,01883M101
699,AIO,92838Y100
700,AIOXXXX,01883M101
701,AIPRB,041356601
702,AIPRC,041356700
703,AIPUY,00950R100
704,AIQ,37954Y632
705,AIQUY,009126202
706,AIR,000361105
707,AIRC,03750L109
708,AIRG,00938A104
709,AIRI,00912N205
710,AIRO,00950H300
711,AIRR,33738R704
712,AIRT,009207101
713,AIRTP,00919P203
714,AIRTP,00919P302
715,AIRTPZZZZ,00919P302
716,AIRYY,00910M100
717,AISSF,001431105
718,AISSF,001430107
719,AISSFXXXX,001430107
720,AIT,03820C105
721,AITX,04316D201
722,AITX,04316D102
723,AITXD,04316D201
724,AIV,03748R747
725,AIV,03748R754
726,AIVN,02687C109
727,AIVXXXX,03748R754
728,AIVZZZZ,03748R747
729,AIW,041356304
730,AIXN,009603101
731,AIXN,009603200
732,AIXND,009603200
733,AIZ,04621X108
734,AIZN,04621X306
735,AIZP,04621X207
736,AJAX,G0190X100
737,AJAX,G1993M101
738,AJAXU,G0190X118
739,AJAXWS,G0190X126
740,AJAXWS,G1993M127
741,AJAXWSXXXX,G0190X126
742,AJAXWSZZZZ,G1993M127
743,AJAXXXXX,G0190X100
744,AJAXZZZZ,G1993M101
745,AJG,363576109
746,AJIA,009706102
747,AJINY,009707100
748,AJOY,054761101
749,AJRD,007800105
750,AJX,38983D300
751,AJXA,38983D409
752,AKA,00152K101
753,AKABY,001628106
754,AKAM,00971T101
755,AKBA,00972D105
756,AKBTY,009719501
757,AKCA,00972L107
758,AKG,04341Y105
759,AKIC,G8372A103
760,AKICU,G8372A111
761,AKICW,G8372A129
762,AKOA,29081P204
763,AKOB,29081P303
764,AKOM,00774B208
765,AKR,004239109
766,AKRO,00973Y108
767,AKRX,009728106
768,AKRXQ,009728106
769,AKRYY,00973M104
770,AKS,001547108
771,AKTAF,009905100
772,AKTS,00973N102
773,AKTX,00972G108
774,AKUS,00973J101
775,AKVA,040732109
776,AKYA,00974H104
777,AKZOY,010199503
778,AL,00912X302
779,ALAC,G35006108
780,ALACR,G35006132
781,ALACU,G35006116
782,ALACW,G35006124
783,ALB,012653101
784,ALBBY,01609Y108
785,ALBKY,02071M507
786,ALBO,01345P106
787,ALBY,203634407
788,ALC,H01301128
789,ALCC,02156V109
790,ALCO,016230104
791,ALDS,03829G107
792,ALDVD,497252106
793,ALDVF,497252106
794,ALDX,01438T106
795,ALE,018522300
796,ALEAF,01444Q104
797,ALEC,014442107
798,ALEDY,01923H104
799,ALEX,014491104
800,ALF,00161P109
801,ALFA,26922A305
802,ALFIW,00161P117
803,ALFVY,015393101
804,ALG,011311107
805,ALGGY,01861B101
806,ALGM,01749D105
807,ALGN,016255101
808,ALGR,01749N103
809,ALGRR,01749N129
810,ALGRW,01749N111
811,ALGS,01626L105
812,ALGT,01748X102
813,ALHC,01625V104
814,ALID,019114107
815,ALINPRA,Y1001E109
816,ALINPRB,Y1001E117
817,ALINPRE,Y1001E125
818,ALIT,01626W101
819,ALITWS,01626W119
820,ALIZY,018820100
821,ALJJ,001627108
822,ALK,011659109
823,ALKM,01643J109
824,ALKS,G01767105
825,ALKT,01644J108
826,ALL,020002101
827,ALLE,G0176J109
828,ALLIF,02075W105
829,ALLK,01671P100
830,ALLM,01890B106
831,ALLO,019770106
832,ALLPRACL,020002408
833,ALLPRB,020002309
834,ALLPRG,020002127
835,ALLPRH,020002838
836,ALLPRI,020002812
837,ALLT,M0854Q105
838,ALLXF,12878L107
839,ALLXF,04040X101
840,ALLY,02005N100
841,ALLYPRA,361860208
842,ALMC,01626K206
843,ALME,011295102
844,ALMTF,020398103
845,ALMY,01374L109
846,ALNA,018119107
847,ALNPY,032350100
848,ALNY,02043Q107
849,ALO,01627X108
850,ALOD,019487107
851,ALORY,016279101
852,ALOT,04638F108
853,ALPA,02073F104
854,ALPAU,02073F203
855,ALPAW,02073F112
856,ALPE,02072E108
857,ALPMY,04623U102
858,ALPN,02083G100
859,ALPP,02083E105
860,ALPPRQ,010392462
861,ALPRA,00912X500
862,ALPVN,010392405
863,ALRM,011642105
864,ALRN,00887A105
865,ALRT,001630102
866,ALSI,04940M106
867,ALSK,01167P101
868,ALSMY,021244207
869,ALSN,01973R101
870,ALST,01989F208
871,ALSTD,01989F208
872,ALSWF,00386B109
873,ALT,02155H200
874,ALTA,021347109
875,ALTCY,02155T204
876,ALTD,02156A105
877,ALTG,02128L106
878,ALTGPRA,02128L205
879,ALTGWS,02128L114
880,ALTKY,02209U108
881,ALTL,69374H717
882,ALTMW,02215L118
883,ALTN,02156H100
884,ALTO,021513106
885,ALTR,021369103
886,ALTS,74347B813
887,ALTU,02156Y103
888,ALTUU,02156Y202
889,ALTUW,02156Y111
890,ALTX,021454103
891,ALTY,37954Y806
892,ALUS,G0232J101
893,ALUSU,G0232J127
894,ALUSWS,G0232J119
895,ALV,052800109
896,ALVOD,02255Q209
897,ALVOF,02255Q100
898,ALVOF,02255Q209
899,ALVR,019818103
900,ALVRQ,M0861T118
901,ALX,014752109
902,ALXN,015351109
903,ALXO,00166B105
904,ALYA,01643B106
905,ALYE,02260T305
906,ALYI,02146M201
907,ALZN,02262M308
908,AM,03676B102
909,AMADY,02263T104
910,AMAG,00163U106
911,AMAL,022663108
912,AMAM,02290A102
913,AMAO,02369M102
914,AMAOU,02369M201
915,AMAOW,02369M110
916,AMAR,02301P205
917,AMAT,038222105
918,AMAZ,02314N205
919,AMBA,G037AX101
920,AMBBY,02337W109
921,AMBC,023139884
922,AMBCW,023139116
923,AMBCWS,023139116
924,AMBK,024343105
925,AMBKP,02503Q209
926,AMBO,02322P200
927,AMBP,L02235106
928,AMBPWS,L02235114
929,AMBS,02300U205
930,AMBZ,02475L105
931,AMC,00165C104
932,AMCA,46435G169
933,AMCF,67086W105
934,AMCI,00166R100
935,AMCI,00165R101
936,AMCIU,00165R200
937,AMCIU,00166R209
938,AMCIW,00166R118
939,AMCIW,00165R119
940,AMCR,G0250X107
941,AMCT,02554H108
942,AMCX,00164V103
943,AMCY,00087D107
944,AMD,007903107
945,AMDLY,022631204
946,AME,031100100
947,AMED,023436108
948,AMEFF,03835D106
949,AMEH,03763A207
950,AMEN,023477300
951,AMER,291361707
952,AMFC,001984103
953,AMFL,026040105
954,AMG,008252108
955,AMGN,031162100
956,AMGY,027462209
957,AMH,02665T306
958,AMHC,03212A105
959,AMHCU,03212A204
960,AMHCW,03212A113
961,AMHG,02362J106
962,AMHPRD,02665T702
963,AMHPRE,02665T801
964,AMHPRF,02665T884
965,AMHPRG,02665T876
966,AMHPRH,02665T868
967,AMHV,02650H101
968,AMIGY,007192107
969,AMIH,02687R106
970,AMIN,02686Y300
971,AMJ,46625H365
972,AMJL,22539T290
973,AMK,04546L106
974,AMKBY,00202F102
975,AMKR,031652100
976,AMLH,02715M103
977,AMLM,027263102
978,AMLP,00162Q866
979,AMLP,00162Q452
980,AMLPXXXX,00162Q866
981,AMLPZZZZ,00162Q452
982,AMLYY,0017EP202
983,AMMJ,024870107
984,AMMPF,03169D102
985,AMMX,02356P209
986,AMMX,02356P100
987,AMMXD,02356P209
988,AMN,001744101
989,AMNA,90269A351
990,AMNB,027745108
991,AMNC,03153A106
992,AMND,90269A252
993,AMNF,042166801
994,AMNL,03823M100
995,AMNP,029616208
996,AMOM,30151E780
997,AMOT,019330109
998,AMOV,02364W204
999,AMP,03076C106
1000,AMPE,03209T109
1001,AMPG,03211Q101
1002,AMPG,03211Q200
1003,AMPGW,03211Q119
1004,AMPH,03209R103
1005,AMPI,00777J109
1006,AMPIU,00777J208
1007,AMPIWS,00777J117
1008,AMPL,03213A104
1009,AMPY,03212B103
1010,AMR,020764106
1011,AMRB,029326105
1012,AMRC,02361E108
1013,AMRH,02362F302
1014,AMRHW,02362F112
1015,AMRK,00181T107
1016,AMRN,023111206
1017,AMRQQ,02133L109
1018,AMRR,027486109
1019,AMRS,03236M200
1020,AMRU,02311Q102
1021,AMRWF,03078L104
1022,AMRX,03168L105
1023,AMRYY,03217L106
1024,AMS,029595105
1025,AMSA,029578200
1026,AMSC,030111207
1027,AMSF,03071H100
1028,AMSIY,03937Y206
1029,AMSSY,03217C106
1030,AMST,031094105
1031,AMSU,022872105
1032,AMSWA,029683109
1033,AMT,03027X100
1034,AMTB,023576101
1035,AMTBB,023576200
1036,AMTCQ,03073H108
1037,AMTD,87236Y108
1038,AMTI,03824M109
1039,AMTPQ,03073H207
1040,AMTR,90269A245
1041,AMTX,00770K202
1042,AMTY,03073V107
1043,AMU,90267B682
1044,AMUB,90274D374
1045,AMWD,030506109
1046,AMWL,03044L105
1047,AMX,02364W105
1048,AMXEF,03114B102
1049,AMYT,03217L106
1050,AMYZF,02735A105
1051,AMZA,26923G772
1052,AMZA,26923G103
1053,AMZAXXXX,26923G103
1054,AMZAZZZZ,26923G772
1055,AMZN,023135106
1056,AN,05329W102
1057,ANAB,032724106
1058,ANAC,G0477L100
1059,ANACU,G0477L118
1060,ANACWS,G0477L126
1061,ANAS,02154R209
1062,ANAT,028591105
1063,ANAT,02772A109
1064,ANATXXXX,028591105
1065,ANATZZZZ,02772A109
1066,ANCE,76131Q104
1067,ANCN,03280X102
1068,ANCUF,01626P403
1069,ANDA,G04415108
1070,ANDAR,G04415132
1071,ANDAU,G04415116
1072,ANDAW,G04415124
1073,ANDC,034263103
1074,ANDD,03634H118
1075,ANDE,034164103
1076,ANDR,034393108
1077,ANEB,034569103
1078,ANET,040413106
1079,ANEW,74347G796
1080,ANF,002896207
1081,ANFC,09216Q103
1082,ANFC,09216Q202
1083,ANFCD,09216Q202
1084,ANFIF,G0335L201
1085,ANGI,00183L102
1086,ANGL,92189F437
1087,ANGN,03476J107
1088,ANGO,03475V101
1089,ANGPY,03486T202
1090,ANGUF,135164101
1091,ANH,037347101
1092,ANHGY,58471Q100
1093,ANHPRA,037347200
1094,ANHPRB,037347309
1095,ANHPRC,037347408
1096,ANIK,035255108
1097,ANIOY,00444E103
1098,ANIP,00182C103
1099,ANIX,03528H109
1100,ANLDF,03464C106
1101,ANMP,03237E306
1102,ANNX,03589W102
1103,ANPC,03635R107
1104,ANPCY,03476V100
1105,ANPDY,03662P107
1106,ANSLY,03634M208
1107,ANSS,03662Q105
1108,ANSU,02287P104
1109,ANTE,00941Q104
1110,ANTGD,00775L205
1111,ANTGF,00775L205
1112,ANTGF,00775L106
1113,ANTH,03674U300
1114,ANTM,036752103
1115,ANVS,03615A108
1116,ANVV,037340106
1117,ANXGF,03240P207
1118,ANY,84841L308
1119,ANYYY,00774W103
1120,ANZBY,052528304
1121,ANZLY,009136201
1122,ANZU,03737A101
1123,ANZUU,03737A200
1124,ANZUW,03737A119
1125,AOA,464289859
1126,AOBC,02874P103
1127,AOD,00326L100
1128,AOIFF,00829Q101
1129,AOIL,003261500
1130,AOK,464289883
1131,AOM,464289875
1132,AOMOY,037376308
1133,AOMR,03464Y108
1134,AON,G0408V102
